,BSE500,SI1900,SIBANK,SPBSBMIP,SI0200,SPBSCDIP,SI0400,SPBSENIP,SI0600,SPBSFIIP,SI0800,SPBSIDIP,SI1000,SI1200,SI1400,SIPOWE,SIREAL,SIBTEC,SPBSTLIP,SPBSUTIP
3-January-2011,8001.48,10218.25,13454.28,2277.52,15483.23,1601.19,6454.64,2777.51,3693.03,2707.95,6763.34,2669.47,6816.98,17959.5,10598.82,3004.83,2870.59,4049.39,1332.39,2227.48
4-January-2011,7981.61,10162.24,13121.12,2271.7,15446.19,1594.46,6416.7,2812.92,3755.72,2656.16,6822.03,2667.05,6820.54,17890.55,10735.56,3007.89,2838.54,4042.03,1317.35,2239.56
5-January-2011,7903.03,9964.24,12833.69,2250.23,15198.77,1570.96,6402.33,2794.77,3782.88,2594.21,6812.54,2639.8,6843.58,17781.96,10688.1,2991.02,2780.89,4038.76,1297.37,2235.2
6-January-2011,7838.92,9806.13,12687.51,2219.94,14912.81,1548.26,6312.31,2788.63,3745.45,2564.3,6803.72,2597.87,6875.46,17654.42,10672.31,2989.0,2713.74,4053.54,1304.26,2232.7
7-January-2011,7656.49,9486.47,12512.18,2142.4,14681.68,1513.39,6111.63,2743.42,3642.46,2518.35,6667.09,2535.15,6680.81,16943.54,10518.94,2929.17,2665.6,3936.36,1261.56,2189.19
10-January-2011,7473.49,9283.75,12137.39,2096.98,14165.33,1470.81,5912.18,2661.79,3591.2,2440.66,6522.69,2454.71,6669.28,16506.94,10204.12,2845.19,2570.94,3922.11,1251.65,2128.38
11-January-2011,7462.08,9318.54,12288.49,2101.59,14196.83,1467.98,5907.07,2637.61,3588.37,2460.47,6525.98,2448.1,6562.65,16527.4,10117.21,2835.15,2500.61,3872.27,1255.97,2109.59
12-January-2011,7586.46,9506.57,12615.94,2144.4,14171.52,1495.43,6180.93,2671.6,3628.32,2523.07,6576.33,2470.55,6672.28,16990.74,10237.78,2856.24,2582.36,3939.49,1282.71,2124.14
13-January-2011,7481.12,9478.15,12170.03,2128.41,14084.25,1486.35,6013.96,2643.4,3618.53,2449.67,6530.38,2465.8,6444.77,16781.81,10124.69,2840.72,2596.31,3830.87,1274.51,2106.65
14-January-2011,7360.01,9259.02,11850.6,2081.93,13818.04,1462.44,5957.52,2606.23,3586.01,2384.96,6483.49,2415.17,6439.06,16371.6,9978.14,2811.05,2524.31,3814.39,1264.79,2084.4
